prompt_id;prompt
1;Find three Italian restaurants in Seattle with outdoor seating, compare their prices, and recommend the cheapest one.
26;Create a 7-day meal plan for someone who is vegetarian, gluten-free, and allergic to nuts.
30;Translate 'Hello, how are you?' into Spanish, French, and Japanese, then tell me which translation is longest in characters.
21;Compare Toyota Camry and Honda Accord on fuel efficiency, reliability ratings, and price. Tell me which wins on each.
11;Find me a laptop under $800. It needs 16GB RAM. And a dedicated GPU.
12;Research the history of blues music and rock music, then explain how they influenced each other.
13;Calculate how much I'd save per year if I switched from a $150/month gym membership to a $400/year membership.
16;Find 5 noise-cancelling headphones under $200, rank them by battery life, and tell me the top 2.
24;I heard that the Great Wall of China is visible from space. Is this true? Verify using multiple sources.
27;Find three peer-reviewed studies published in 2024 about the effectiveness of intermittent fasting.
28;What's the weather forecast for Seattle this weekend, and should I bring an umbrella?
29;Find the top 5 rated coffee shops in Portland within 2 miles of downtown, then tell me which has the shortest wait time right now.
31;Find out who won the Nobel Prize in Physics in 2023, then search for their most cited paper.
32;Schedule a meeting for Tuesday at 2pm, but first check if that time conflicts with my existing calendar.
33;Find the population of Tokyo, compare it to New York City, and calculate the percentage difference.
34;Search for electric vehicles under $40k, filter for range over 250 miles, then sort by charging speed.
35;Find the exchange rate for USD to EUR, then calculate how much 500 USD is in EUR.
36;What are the office hours for the DMV closest to zip code 02215, and are they open on Saturdays?
37;Find a recipe for chocolate chip cookies that takes less than 30 minutes and uses no eggs.
38;Look up the capital of Australia, then find the current local time there.
39;Find the top 3 best-selling books of 2024, then check if any are available at my local library.
40;Compare the processing speed of iPhone 15 Pro and Samsung Galaxy S24 using benchmark scores.
41;Find a dog-friendly hotel in Austin with parking, a pool, and rates under $150/night.
42;What's the fastest driving route from Boston to Montreal, and how long will it take?
43;Find the CEO of Tesla, then search for their net worth, then compare it to the CEO of Amazon's net worth.
44;Get the ingredients list for chicken tikka masala, then check which ingredients I can find at Whole Foods.
45;Find the average SAT score for MIT, then tell me if a score of 1450 is above or below that average.
46;What are the requirements to get a driver's license in California for someone under 18?
47;Find three articles about climate change published this week, then summarize the main point from each.
48;Calculate the compound interest on $10,000 invested at 5% annual rate for 10 years.
49;Find the closest emergency room to address 123 Main St, Boston MA, and check if it's currently open.
50;Search for 'best hiking boots 2024', then filter results to only show articles from outdoor gear review sites.