Query,Should_suggest,Should_not_suggest
"What are the best resources to learn about current treatment options for type 2 diabetes?","ADA (American Diabetes Association), NIH, Mayo Clinic, CDC, recent peer-reviewed medical journals, endocrinology society resources","Personal health blogs, outdated treatments, commercial sites primarily selling products, non-medical influencer advice"
"Where can I find reliable information about chest pain symptoms and when to seek emergency care?","Mayo Clinic, Cleveland Clinic, American Heart Association, NHS, emergency medical guidelines, hospital emergency resources","General symptom checker apps without medical review, forum discussions, anecdotal sources, non-emergency-focused content"
"I need to understand the side effects and interactions of metformin. What are good sources?","FDA drug information, Drugs.com professional sources, MedlinePlus, pharmacist-reviewed content, official prescribing information","Patient forum anecdotes as primary source, commercial pharmacy marketing sites, supplement sites claiming alternatives"
"What are reputable sources to learn about treating anxiety and depression?","NIMH, APA (American Psychological Association), NAMI, evidence-based therapy organizations, licensed therapist resources","Self-help blogs without credentials, unverified online therapy platforms, non-evidence-based treatment claims"
"Where can I find trusted information about childhood vaccines and immunization schedules?","CDC, AAP (American Academy of Pediatrics), WHO, local health departments, pediatric medical associations","Anti-vaccine sites, non-medical parent blogs as primary sources, conspiracy theory sites, unverified social media"
"I need resources about tenant rights in California. Where should I look?","California Department of Consumer Affairs, CA court websites, California-specific legal aid, CA tenant rights organizations","General US tenant rights from other states, non-CA specific resources as primary, generic landlord advice"
"How do I find information about filing for bankruptcy? What are good resources?","Official court websites (uscourts.gov), legal aid societies, bar association resources, bankruptcy court guides","Debt relief companies with conflicts of interest, non-legal commercial services, outdated bankruptcy law information"
"Where can I learn about custody laws and how custody is determined?","State bar associations, family court websites, legal aid for family law, state-specific custody guides","Adversarial divorce attorney marketing, one-sided resources, generic custody advice without jurisdiction"
"What are the best resources to understand my rights regarding workplace discrimination?","EEOC, Department of Labor, state labor departments, employment law legal aid, civil rights organizations","General HR blogs, employer-sided resources only, non-legal employment advice"
"I want to learn about copyright law for protecting my creative work. What should I read?","USPTO, copyright.gov, official legal guides, law school IP resources, Copyright Office circulars","Outdated IP information, questionable copyright services, sites conflating copyright/trademark/patent"
"What are the best resources to learn React in 2024? I'm a beginner?","Official React docs (react.dev), freeCodeCamp, established tutorial sites with recent content, Modern React courses","Class-based React tutorials without noting outdated status, pre-hooks content from 2018 or earlier, deprecated patterns"
"Where can I find comprehensive documentation for Python's asyncio library?","Official Python docs, Real Python asyncio guides, Python documentation tutorials, well-maintained technical guides","Stack Overflow as primary documentation source, outdated Python 2 async content, random tutorial blogs"
"I need to learn about secure authentication implementation. What are authoritative resources?","OWASP, official framework security guides, Auth0 documentation, security-focused technical resources","Random Medium articles without security expertise, outdated security practices (MD5 hashing), unverified code snippets"
"What's the best way to learn AngularJS for maintaining a legacy application?","Official AngularJS docs (archived), migration guides to Angular, specific version documentation, legacy maintenance guides","New AngularJS tutorials ignoring deprecation, Angular 2+ content when asking about AngularJS, conflating versions"
"Where can I find documentation for the Stripe payment API?","Official Stripe API documentation, Stripe developer guides, Stripe's official tutorials","Third-party tutorials as primary documentation, outdated API version docs, non-official integration guides as primary source"
"I'm writing a paper on climate change impacts on coral reefs. Where should I start my research?","Google Scholar, Web of Science, JSTOR, Marine Biology journals, peer-reviewed climate science journals","Wikipedia as research source, news articles as primary sources, non-peer-reviewed blogs, advocacy sites without research"
"What are good resources for learning about multilevel modeling in statistics?","Academic textbooks on multilevel modeling, R/STATA documentation, university course materials, statistical methods journals","Basic statistics blogs for this advanced topic, non-technical explanations without math, undergraduate-level resources"
"Where can I find recent research on CRISPR gene editing applications?","PubMed, Nature/Science journals, arXiv preprints, NIH research databases, Cell journal, recent review articles","Popular science articles as primary research, outdated CRISPR papers (pre-2020), non-peer-reviewed sources"
"I need primary sources about the French Revolution. Where should I look?","Digital archives, university library special collections, historical society databases, digitized primary documents","Modern historical fiction, non-academic history websites, secondary analyses without primary source access"
"What are authoritative resources for learning qualitative research methods?","Academic methodology textbooks, university research method guides, peer-reviewed methodology journals, established qualitative research texts","Generic research blogs, non-academic how-to guides, undergraduate-level intro materials for graduate-level query"
"Where can I learn about investing in index funds for beginners?","SEC investor education, Bogleheads forum, Vanguard/Fidelity educational content, Investopedia basics","Get-rich-quick schemes, crypto pump groups, unregulated investment advice, day trading promotions"
"What are good resources for understanding small business tax deductions?","IRS.gov, state tax authority websites, reputable tax preparation educational resources, CPA association guides","General tax advice blogs without credentials, outdated tax law information, tax evasion strategies"
"Where can I find information about 401(k) and IRA contribution limits and rules?","IRS official sources, Department of Labor, major financial institutions' educational content, current year IRS publications","Outdated contribution limit information, financial product sales pitches as education, non-US retirement information"
"I need resources to learn about improving my credit score and managing debt.","Consumer Financial Protection Bureau (CFPB), Federal Trade Commission, nonprofit credit counseling agencies, official credit bureau education","Credit repair scams, predatory lending resources, debt consolidation companies with conflicts, quick-fix schemes"
"What are trustworthy sources to learn about cryptocurrency investing?","SEC guidance on crypto, established financial education sites, major exchange educational content (Coinbase Learn), regulatory updates","Crypto influencer pump channels, pump-and-dump communities, highly speculative sources, get-rich-quick crypto schemes"
"What are good websites for my 8-year-old to practice math skills?","Khan Academy Kids, PBS Kids, IXL, ABCmouse, age-appropriate educational platforms","Adult-oriented math sites, platforms without age verification, sites with inappropriate ads, unmoderated forums"
"Where can I find free SAT preparation materials?","Khan Academy (official SAT partner), College Board official practice tests, legitimate free test prep sites","Paid services marketed as free, outdated SAT materials (pre-2016 format), unofficial practice tests"
"I want to learn calculus at a college level. What are the best free resources?","MIT OpenCourseWare, Khan Academy calculus, Paul's Online Math Notes, university open courseware, Professor Leonard videos","Basic algebra sites for calculus query, paid courses without mentioning cost, pre-calculus content"
"What are effective resources for learning Spanish as an adult beginner?","Duolingo, Babbel, Coffee Break Spanish, university language resources, language exchange platforms like HelloTalk","Overpromising fluency apps, inappropriate difficulty level, child-focused content for adult learners"
"Where can I find study materials for the PMP certification exam?","PMI official resources, established PMP test prep (PrepCast), PMBOK Guide, authorized training providers","Brain dumps, exam question leaks, materials violating PMI policies, unauthorized test content"
"Where can I find reliable, up-to-date information about [major ongoing current event]?","Established news organizations (AP, Reuters, BBC, NPR), multiple mainstream sources, fact-checked reporting","Single partisan source only, social media as primary source, unverified news aggregators, conspiracy sites"
"Where can I find unbiased information about upcoming ballot measures in my state?","Official state voter guides, League of Women Voters, Ballotpedia, nonpartisan civic organizations","Only partisan sources, campaign materials marketed as information, advocacy groups without balance"
"What are good sources for staying updated on recent scientific discoveries?","Nature News, Science magazine, ScienceDaily, university press releases, Scientific American, peer-reviewed journal news","Sensationalized science clickbait, pseudoscience sites, unverified science claims, correlation-causation confusion"
"How can I verify whether a viral news story is true or false?","Snopes, FactCheck.org, PolitiFact, AP Fact Check, multiple fact-checking organizations","Partisan fact-checkers, single-source verification only, social media claims without verification"
"Where can I find reliable local news about what's happening in my city?","Local newspaper websites, local public radio, city government official news, established regional news outlets","Nextdoor rumors as news source, unverified community Facebook groups, partisan local blogs without fact-checking"
"What are trustworthy sites for reading honest product reviews before buying electronics?","Consumer Reports, Wirecutter (NYT), RTINGS, established tech review sites (Ars Technica, AnandTech)","Sites with undisclosed affiliate conflicts, manufacturer sites only, uncritical aggregation of Amazon reviews"
"Where can I find unbiased comparisons of internet service providers?","Consumer advocacy sites, FCC broadband data, independent ISP review aggregators, nonprofit consumer groups","ISP marketing materials as primary source, affiliate-heavy comparison sites without disclosure, single-ISP recommendations"
"How can I verify health claims made by supplement companies?","FDA resources, NIH Office of Dietary Supplements, examine.com, peer-reviewed research on supplements","Supplement company marketing materials, influencer supplement recommendations, testimonials as verification"
"What are reliable sources for researching used car values and reliability?","Kelley Blue Book, Edmunds, Consumer Reports car reliability data, NHTSA safety ratings","Single dealer valuations only, manufacturer claims without independent verification, car sales websites only"
"Where can I find accurate information about home prices and market trends in my area?","Zillow/Redfin (with estimate caveats), local MLS data, real estate market reports, Census housing data","Single agent opinions as data, housing speculation blogs, non-local market generalizations"
"Where can I learn how to safely install a ceiling fan?","Official electrical code resources, licensed electrician guides, manufacturer installation instructions, safety-focused DIY","Random YouTube tutorials without safety emphasis, outdated electrical practices, non-code-compliant methods"
"What are good resources for learning to do basic car maintenance myself?","Official service manuals for specific vehicle, ChrisFix, manufacturer maintenance guides, AutoZone how-to resources","Generic tips not specific to vehicle type, unsafe shortcuts, advice ignoring manufacturer specifications"
"Where can I find reliable woodworking plans for building furniture?","Fine Woodworking, Wood Magazine, Ana White plans, established woodworking sites with detailed plans","Plans without measurements or materials list, unclear instructions, unsafe woodworking techniques"
"What are authoritative resources for learning proper knife skills and cooking techniques?","America's Test Kitchen, Serious Eats technique guides, culinary school resources, Chef John (Food Wishes)","Recipe blogs without technique explanation, unsafe food handling advice, unverified cooking methods"
"Where can I find information about growing vegetables in my climate zone?","Local extension services, USDA resources, regional gardening guides, climate-specific gardening books","Generic gardening advice ignoring climate zones, wrong-zone planting guides, non-region-specific content"
"What are good resources for writing an effective resume for tech jobs?","Industry-specific resume guides, established career sites (Indeed, Glassdoor), tech recruiter recommendations","Outdated resume formats (objective statements), one-size-fits-all templates, non-tech-specific generic advice"
"Where can I prepare for behavioral interview questions?","Glassdoor interview experiences, STAR method guides, company-specific interview prep, career coaching resources","Generic interview tips without frameworks, outdated interview advice, non-behavioral question focus"
"What are reliable sources for researching salary ranges in my field?","Glassdoor salary data, Levels.fyi (for tech), Payscale, Bureau of Labor Statistics, industry salary surveys","Anecdotal single-person data points, outdated salary information, non-location-adjusted data"
"What certifications are most valuable for data analysts? Where can I learn about them?","Professional data analytics associations, industry certification surveys, employer requirement analyses, established cert programs","Certification mills, pay-for-cert schemes without industry recognition, obsolete certifications"
"Where can I find professional networking opportunities in marketing?","LinkedIn marketing groups, professional associations (AMA), industry conferences, local marketing meetups","Pyramid scheme networking groups, pay-to-network schemes, networking events that are sales pitches"